id,name,price,original_price,discount,rating,review_count,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
262778234,[Tặng Hũ Thủy Tinh NESCAFÉ HOẶC TRÀ SỮA NESTEA] Cà phê Hòa tan NESCAFÉ CAFÉ VIỆT 35  gói Vị Mạnh đặc trưng,168000,300000,132000,5,49,,,,,,,,,
114809875,Cà phê hòa tan kết hợp rang xay NESCAFÉ RED CUP 200g,208000,209000,1000,4.8,245,,,,,,,,,
272634995,Cà phê hoà tan NESCAFÉ 3IN1 VỊ NGUYÊN BẢN - công thức cải tiến (hộp 20 gói x 16g ),78000,90000,12000,4.8,13,,,,,,,,,
273523197,Ngũ cốc ăn sáng MILO (Hộp 300g),104000,110000,6000,5,10,,,,,,,,,
10240037,Thùng 48 Hộp Sữa Nestlé MILO Nước (180ml / Hộp),407000,450000,43000,4.8,1692,,,,,,,,,
278678946,Trung Nguyên Legend - Cà phê sữa hòa tan G7 3in1 - Bịch 100 sticks x 16gr (gói dài),402000,402000,0,0,0,,,,,,,,,
278678870,Trung Nguyên Legend - Cà phê rang xay I Khát vọng - Bịch 500gr,117000,117000,0,0,0,,,,,,,,,
278434040,[ Tặng Hũ Thủy Tinh NESCAFÉ NESCAFE HOẶC TRÀ SỮA NESTEA ] Cà phê Hòa tan NESCAFÉ VỊ NGUYÊN BẢN 46 gói Đậm Thơm Hoàn Hảo,175000,180000,5000,5,1,,,,,,,,,
277880353,Gạo ST25 Harmony Vinh Hiển 5KG,125000,170000,45000,5,130,,,,,,,,,
277838067,[Tặng Trà Sưã Boba] Cà phê Hòa tan NESCAFÉ CAFÉ VIỆT 35 gói Vị Mạnh đặc trưng,163000,170000,7000,5,10,,,,,,,,,
273523198,Ngũ cốc ăn sáng HONEY STARS (Hộp 300g),105000,110000,5000,5,6,,,,,,,,,
273643944,Thực phẩm bổ sung Trà Việt Quất và Hoa Atiso Đỏ NESTEA 10 gói x 12g,40000,57000,17000,5,9,,,,,,,,,
89503739,Bịch 15 gói Thức Uống Lúa Mạch Nestlé MILO Sữa 3 Trong 1 (22g/Gói),63000,75000,12000,5,185,,,,,,,,,
273983211,Ngũ cốc ăn sáng Fitnesse Granola Diêm Mạch,129000,143000,14000,5,5,,,,,,,,,
272421927,[TẶNG 5 Hộp Sữa Gấu] Combo 4 hộp nước cốt cà phê NESCAFÉ - CÀ PHÊ SỮA ĐÁ (4 hộp x 5 gói x 75ml),222000,222000,0,5,12,,,,,,,,,
277779080,[Tặng hộp 2 ly thủy tinh] Combo 2 Bịch NESCAFE 3IN1 Công thức cải tiến - VỊ NGUYÊN BẢN Bịch 46 gói,350000,400000,50000,5,12,,,,,,,,,
277779078,[Tặng bộ 2 ly thủy tinh] Combo 2 Bịch Cà phê đen hòa tan NESCAFE Café Việt (Túi 35 gói x 16g),325000,355000,30000,5,9,,,,,,,,,
274957926,Tương Ớt Nam Dương Đặc Biệt Cay 400g,14000,14000,0,5,1,,,,,,,,,
274798897,[Tặng Ca Đá 900ml ] Combo 3 Bịch NESCAFE 3IN1 Công thức cải tiến - VỊ NGUYÊN BẢN Bịch 46 gói,525000,570000,45000,5,27,,,,,,,,,
274273465,Thùng sữa đậu nành Vinasoy Fami Green soy không bổ sung đường (36 hộp x 180ml),187000,242000,55000,5,5,,,,,,,,,
15973974,Thùng 48 Hộp Sữa Nestlé Milo Ít Đường (180ml/ Hộp),409000,566000,157000,4.8,1226,,,,,,,,,
272635031,Sữa lúa mạch Nestlé MILO ÍT ĐƯỜNG - thùng 48 hộp x 110ml,298000,325000,27000,5,8,,,,,,,,,
114809887,Sữa lúa mạch Nestlé MILO Nguyên chất 400g (hũ nhựa) - Giao mẫu ngẫu nhiên,93000,200000,107000,5,177,,,,,,,,,
273983210,Ngũ cốc ăn sáng Fitnesse Granola Nam Việt Quất & Hạt Bí Ngô (gói 300g),129000,143000,14000,4.8,4,,,,,,,,,
76755601,Sữa Lúa Mạch Nestlé MILO Lon Thùng 24 Lon x 240 ml (4x6x240ml),384000,394000,10000,5,175,,,,,,,,,
274273463,Thùng 48 Hộp Sữa Nestlé MILO Nước (180ml / Hộp) - không màng nhựa,397000,471000,74000,5,36,,,,,,,,,
274086107,Tặng Ca Đá 900ml] Combo 3 Bịch Cà phê Hòa tan NESCAFÉ CAFÉ VIỆT 35 gói Vị Mạnh đặc trưng,489000,500000,11000,5,48,,,,,,,,,
272635015,[Tặng Ca đá 900ml ] Combo 3 Bịch NESCAFE 3IN1 Công thức cải tiến - VỊ NGUYÊN BẢN Bịch 46  gói,533000,600000,67000,5,16,,,,,,,,,
272635007,[ Tặng Hũ Thủy Tinh HOẶC Trà Sữa Boba] Cà phê Hòa tan NESCAFÉ VỊ NGUYÊN BẢN 46 gói Đậm Thơm Hoàn Hảo,175000,190000,15000,4.8,45,,,,,,,,,
272117281,Sữa chua uống hương dâu Vinamilk Susu - Thùng 48 chai 80ml,183000,230000,47000,5,3,,,,,,,,,
272117279,Sữa chua uống hương cam Vinamilk Susu - Thùng 48 chai 80ml,183000,230000,47000,0,0,,,,,,,,,
249971809,Đường kính trắng Đường An Khê 1kg,29000,40000,11000,5,9,,,,,,,,,
197636987,Thùng 48 Bịch Sữa Tiệt Trùng Dutch Lady Cô Gái Hà Lan Có Đường 180ml,317000,493000,176000,4.7,93,,,,,,,,,
193685374,Combo 2 bịch thức uống ca cao lúa mạch Milo Regular (600g),198800,254000,55200,5,5,,,,,,,,,
177336108,Thùng Veyo Sữa hạt lên men tự nhiên Vị Dâu Nhật (30hộp x 180ml),175000,245000,70000,5,123,,,,,,,,,
133696713,Dầu Đậu Nành Simply 1L / 2L / 5L,69000,80000,11000,5,1559,,,,,,,,,
133682930,Dầu Ăn Cái Lân 1L / 2L / 5L,70000,70000,0,5,723,,,,,,,,,
98565203,Thùng 24 Lon Nước Ngọt Có Gaz Mirinda Soda Kem (320ml/lon),250800,288420,37620,4.8,270,,,,,,,,,
65848108,Trà Xanh Cầu Đất Dalat Farm - Hộp 110Gr,90000,90000,0,5,97,,,,,,,,,
52795555,Túi Gạo Meizan Nàng Thơm 5kg,103000,108000,5000,4.8,129,,,,,,,,,
51713363,Trung Nguyên Legend - Cà phê hoà tan rang xay 3in1 Special Edition - Hộp 18 gói x 25gr,131000,141457,10457,4.8,369,,,,,,,,,
32951828,Thùng Sữa đậu nành Vinasoy Fami Nguyên Chất ít đường (200ml x 40 bịch),158000,199000,41000,4.8,945,,,,,,,,,
32951826,Thùng Sữa đậu nành Vinasoy Fami Canxi ít đường (200ml x 36 Hộp),164000,221000,57000,5,575,,,,,,,,,
32951822,Thùng Sữa đậu nành Vinasoy Fami Canxi ít đường (200ml x 40 bịch),150000,203000,53000,4.8,2454,,,,,,,,,
27929101,Thùng 30 Gói Mì Cung Đình Kool Spaghetti (105g X 30 Gói),248000,267000,19000,5,23,,,,,,,,,
22448892,Thùng Sữa Đậu Nành Vinasoy Fami Canxi Nguyên vị (200ml x 40 Bịch),150000,203000,53000,4.8,831,,,,,,,,,
15214743,Thùng 10 Hộp Sữa Đậu Nành Vinasoy Fami Nguyên Chất (1 lít / Hộp),175000,320000,145000,4.8,287,,,,,,,,,
2454283,Thùng 48 Hộp Sữa Tươi Tiệt Trùng Dutch Lady Cô Gái Hà Lan Có Đường (48X180ml),411000,533000,122000,4.8,564,,,,,,,,,
537489,Thùng 30 Gói Mì Khoai Tây Cung Đình Hương Vị Lẩu Tôm Chua Cay,220000,249000,29000,4.6,29,,,,,,,,,
483310,Dầu Hạt Cải Simply (1L / Chai),66000,80000,14000,5,285,,,,,,,,,
483305,Dầu Ôliu Nguyên Chất Olivoilà (250ml / Chai),110000,116000,6000,5,147,,,,,,,,,
92169757,Cà phê hòa tan Nescafé 3in1 cà phê sữa đá (Hộp 10 gói x 24 g),55000,62000,7000,5,269,,,,,,,,,
272635021,Cà phê hoà tan NESCAFÉ 3IN1 VỊ RANG ĐẬM - công thức cải tiến (hộp 20 gói x 16g),72400,89000,16600,5,12,,,,,,,,,
278672477,Thùng 48 hộp sữa tươi tiệt trùng TH True Milk  nguyên chất 110ml,330000,359000,29000,0,0,,,,,,,,,
278591992,Nước mắm Nam Ngư  MN 750ml,70000,70000,0,0,0,,,,,,,,,
278424813,Thùng 24 hộp sữa hạt cao đạm Vinamilk ít đường 180ml,330000,414000,84000,0,0,,,,,,,,,
278378656,Thùng 12 hộp Trà Atisô không đường Vinamilk - Hộp giấy 1L,279000,328925,49925,5,4,,,,,,,,,
275496221,Thùng 30 Gói Mì Cung Đình Kool BBQ Hương Vị Sườn Nướng Hàn Quốc 99g,250000,360000,110000,2.5,2,,,,,,,,,
